"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"541","1633.0","6432.0","127.7","168","878","20","0"
"542","1636.0","6443.8","128.3","166","870","21","0"
"543","1639.0","6455.6","127.4","169","882","20","0"
"544","1642.0","6467.4","128.5","165","867","20","0"
"545","1645.0","6479.0","128.3","166","870","20","0"
"546","1647.5","6488.6","128.3","166","870","20","0"
"547","1650.5","6500.4","128.4","165","869","20","0"
"548","1654.0","6514.2","129.5","161","854","20","0"
"549","1657.0","6525.7","129.5","161","854","20","0"
"550","1660.0","6537.3","129.4","162","855","19","0"
"551","1663.0","6548.8","128.9","163","862","19","0"
"552","1666.5","6562.5","130.6","157","840","19","0"
"553","1669.0","6571.9","130.6","157","840","19","0"
"554","1672.0","6583.8","129.1","163","859","20","0"
"555","1675.0","6595.4","128.5","165","867","21","0"
"556","1678.0","6607.1","128.6","165","866","20","0"
"557","1681.0","6618.9","128.7","164","865","20","0"
"558","1684.0","6630.6","128.4","165","869","20","0"
"559","1687.0","6642.1","129.0","163","861","20","0"
"560","1690.0","6653.7","130.4","158","843","20","0"
"561","1693.0","6665.2","130.3","158","844","20","0"
"562","1696.0","6676.8","130.0","159","848","20","0"
"563","1699.0","6688.4","129.7","160","852","20","0"
"564","1702.0","6700.1","129.6","161","853","20","0"
"565","1705.0","6711.7","128.4","165","869","20","0"
"566","1708.5","6725.4","130.6","157","840","19","0"
"567","1711.5","6736.8","131.9","153","824","20","0"
"568","1714.5","6748.3","131.9","153","824","20","0"
"569","1717.5","6759.7","130.7","157","839","20","0"
"570","1720.5","6771.3","130.4","158","843","19","0"
"571","1723.5","6782.9","130.5","157","841","20","0"
"572","1726.5","6794.5","129.9","160","849","20","0"
"573","1729.5","6805.9","130.1","159","847","20","0"
"574","1732.5","6817.6","130.8","156","838","19","0"
"575","1735.5","6829.4","128.8","164","863","20","0"
"576","1738.5","6841.1","127.3","170","883","20","0"
"577","1741.5","6853.0","127.2","170","885","20","0"
"578","1744.5","6864.7","127.3","170","883","20","0"
"579","1747.5","6876.6","128.0","167","874","20","0"
"580","1750.5","6888.3","127.7","168","878","20","0"
"581","1753.5","6900.1","128.0","167","874","20","0"
"582","1756.5","6911.9","128.2","166","871","20","0"
"583","1759.5","6923.9","126.6","172","893","21","0"
"584","1762.5","6935.7","126.6","172","893","21","0"
"585","1765.5","6947.6","127.1","170","886","20","0"
"586","1768.5","6959.3","127.1","170","886","20","0"
"587","1771.5","6971.0","127.9","167","875","20","0"
"588","1774.5","6982.7","128.5","165","867","20","0"
"589","1777.5","6994.6","128.1","167","873","20","0"
"590","1780.5","7006.3","127.7","168","878","20","0"
"591","1783.5","7018.1","127.9","167","875","20","0"
"592","1786.5","7030.0","126.8","172","890","20","0"
"593","1789.0","7039.7","126.8","172","890","20","0"
"594","1792.0","7051.6","127.3","170","883","21","0"
"595","1795.0","7063.3","126.8","172","890","21","0"
"596","1798.0","7075.0","128.2","166","871","20","0"
"597","1801.0","7086.7","128.8","164","863","20","0"
"598","1804.0","7098.4","129.0","163","861","20","0"
"599","1807.0","7110.1","128.3","166","870","20","0"
"600","1810.0","7121.8","128.3","166","870","19","0"
"601","1813.0","7133.4","128.6","165","866","20","0"
"602","1816.0","7144.9","129.8","160","850","19","0"
"603","1819.0","7156.6","130.3","158","844","20","0"
"604","1822.0","7168.4","128.7","164","865","20","0"
"605","1825.0","7180.0","128.5","165","867","21","0"
"606","1828.0","7191.7","129.4","162","855","20","0"
"607","1831.0","7203.3","129.7","160","852","20","0"
"608","1834.0","7215.0","128.5","165","867","20","0"
"609","1837.0","7226.7","128.4","165","869","20","0"
"610","1840.0","7238.3","128.7","164","865","20","0"
"611","1843.0","7250.2","128.9","163","862","19","0"
"612","1846.0","7261.9","128.4","165","869","21","0"
"613","1849.0","7273.5","130.2","159","845","20","0"
"614","1852.0","7285.0","130.5","157","841","20","0"
"615","1855.0","7296.6","129.5","161","854","20","0"
"616","1858.0","7308.3","129.3","162","857","20","0"
"617","1861.0","7320.0","129.3","162","857","21","0"
"618","1863.5","7329.4","129.3","162","857","21","0"
"619","1866.5","7341.0","129.7","160","852","21","0"
"620","1869.5","7352.6","130.3","158","844","20","0"
"621","1872.5","7364.4","129.8","160","850","20","0"
"622","1875.5","7376.1","129.1","163","859","20","0"
"623","1878.5","7387.6","130.0","159","848","20","0"
"624","1881.5","7399.2","130.5","157","841","21","0"
"625","1884.5","7410.7","130.3","158","844","20","0"
"626","1887.5","7422.3","129.9","160","849","20","0"
"627","1890.5","7434.0","129.1","163","859","20","0"
"628","1893.0","7443.7","129.1","163","859","20","0"
"629","1896.0","7455.5","127.1","170","886","21","0"
"630","1899.0","7467.3","127.6","168","879","20","0"
"631","1902.0","7478.9","128.0","167","874","20","0"
"632","1905.0","7490.6","128.5","165","867","19","0"
"633","1908.0","7502.4","128.8","164","863","20","0"
"634","1911.0","7514.0","128.3","166","870","20","0"
"635","1914.0","7525.7","129.3","162","857","20","0"
"636","1917.0","7537.4","128.3","166","870","20","0"
"637","1920.0","7548.8","129.6","161","853","20","0"
"638","1923.0","7560.3","131.7","153","827","20","0"
"639","1926.0","7571.8","131.2","155","833","20","0"
"640","1929.0","7583.5","130.4","158","843","20","0"
"641","1932.0","7595.1","129.5","161","854","20","0"
"642","1935.0","7606.6","129.0","163","861","20","0"
"643","1938.0","7618.0","131.1","155","834","19","0"
"644","1941.5","7631.6","131.1","155","834","19","0"
"645","1944.5","7643.0","130.5","157","841","20","0"
"646","1947.5","7654.7","129.5","161","854","20","0"
"647","1950.5","7666.5","127.3","170","883","20","0"
"648","1953.5","7678.3","127.7","168","878","20","0"
"649","1956.5","7689.9","127.7","168","878","20","0"
"650","1959.5","7701.6","128.6","165","866","19","0"
"651","1962.5","7713.4","128.8","164","863","20","0"
"652","1965.5","7725.2","127.3","170","883","20","0"
"653","1968.5","7737.0","127.3","170","883","20","0"
"654","1971.5","7748.8","127.7","168","878","20","0"
"655","1974.5","7760.6","126.8","172","890","20","0"
"656","1978.0","7774.7","126.8","172","890","20","0"
"657","1981.0","7786.6","126.7","172","892","19","0"
"658","1984.0","7798.5","126.7","172","892","20","0"
"659","1987.0","7810.2","126.7","172","892","20","0"
"660","1990.0","7822.0","127.5","169","881","19","0"
"661","1993.0","7833.8","127.4","169","882","20","0"
"662","1996.0","7845.6","127.7","168","878","20","0"
"663","1999.0","7857.4","127.5","169","881","20","0"
"664","2002.0","7869.1","127.5","169","881","20","0"
"665","2005.0","7880.9","128.2","166","871","19","0"
"666","2008.0","7892.8","127.6","168","879","20","0"
"667","2011.0","7904.6","126.2","174","899","20","0"
"668","2014.0","7916.5","127.2","170","885","20","0"
"669","2017.0","7928.4","127.3","170","883","21","0"
"670","2020.0","7940.3","127.2","170","885","20","0"
"671","2023.0","7952.0","126.6","172","893","20","0"
"672","2026.0","7963.8","127.8","168","877","20","0"
"673","2029.0","7975.6","127.6","168","879","20","0"
"674","2032.0","7987.4","127.4","169","882","20","0"
"675","2035.0","7999.2","127.5","169","881","20","0"
"676","2038.0","8010.9","128.5","165","867","20","0"
"677","2041.0","8022.6","128.4","165","869","20","0"
"678","2044.0","8034.5","127.0","171","888","20","0"
"679","2047.0","8046.5","126.0","175","902","21","0"
"680","2049.5","8056.3","126.0","175","902","21","0"
"681","2053.0","8070.5","126.1","175","900","20","0"
"682","2056.0","8082.2","128.3","166","870","20","0"
"683","2059.0","8093.9","128.1","167","873","19","0"
"684","2062.0","8105.6","128.0","167","874","20","0"
"685","2065.0","8117.3","128.0","167","874","20","0"
"686","2068.0","8128.9","129.9","160","849","20","0"
"687","2071.0","8140.6","129.0","163","861","20","0"
"688","2074.0","8152.3","129.0","163","861","20","0"
"689","2077.0","8163.9","129.5","161","854","20","0"
"690","2080.0","8175.6","129.4","162","855","20","0"
"691","2083.0","8187.3","128.4","165","869","19","0"
"692","2086.0","8198.9","128.5","165","867","20","0"
"693","2089.0","8210.7","128.5","165","867","20","0"
"694","2092.0","8222.3","129.4","162","855","20","0"
"695","2095.0","8233.9","130.2","159","845","20","0"
"696","2098.0","8245.5","129.6","161","853","20","0"
"697","2101.0","8256.8","132.0","152","823","20","0"
"698","2104.0","8268.4","130.4","158","843","21","0"
"699","2107.0","8280.0","130.5","157","841","20","0"
"700","2110.0","8291.4","131.9","153","824","20","0"
"701","2112.5","8300.8","131.9","153","824","20","0"
"702","2115.5","8312.4","130.4","158","843","21","0"
"703","2118.5","8323.9","130.1","159","847","20","0"
"704","2121.5","8335.3","131.1","155","834","20","0"
"705","2124.5","8347.0","131.1","155","834","20","0"
"706","2127.5","8358.6","129.3","162","857","20","0"
"707","2130.5","8370.2","129.3","162","857","20","0"
"708","2133.5","8381.8","129.6","161","853","20","0"
"709","2136.5","8393.3","130.2","159","845","20","0"
"710","2140.0","8407.0","130.6","157","840","19","0"
"711","2143.0","8418.5","130.8","156","838","20","0"
"712","2146.0","8430.2","129.1","163","859","20","0"
"713","2148.5","8439.8","129.1","163","859","20","0"
"714","2151.5","8451.9","127.0","171","888","21","0"
"715","2154.5","8463.7","125.4","177","910","21","0"
"716","2157.5","8475.5","127.5","169","881","20","0"
"717","2160.5","8487.4","127.7","168","878","20","0"
"718","2163.5","8499.5","125.9","175","903","21","0"
"719","2166.0","8509.1","125.9","175","903","21","0"
"720","2169.0","8521.0","127.1","170","886","21","0"
"721","2172.0","8532.8","127.0","171","888","21","0"
"722","2175.0","8544.6","127.8","168","877","20","0"
"723","2178.0","8556.4","127.4","169","882","20","0"
"724","2181.0","8568.3","127.5","169","881","20","0"
"725","2184.0","8580.0","127.4","169","882","20","0"
"726","2187.0","8591.8","128.2","166","871","20","0"
"727","2190.0","8603.7","127.1","170","886","20","0"
"728","2193.0","8615.4","127.1","170","886","20","0"
"729","2196.0","8627.1","128.5","165","867","20","0"
"730","2199.0","8639.0","128.6","165","866","20","0"
"731","2202.0","8651.0","126.5","173","895","21","0"
"732","2204.5","8660.6","126.5","173","895","21","0"
"733","2207.5","8672.4","127.5","169","881","21","0"
"734","2210.5","8684.3","127.6","168","879","20","0"
"735","2213.5","8696.1","127.7","168","878","21","0"
"736","2216.5","8707.9","127.7","168","878","20","0"
"737","2219.5","8719.7","127.9","167","875","20","0"
"738","2222.5","8731.5","127.2","170","885","20","0"
"739","2225.5","8743.2","127.2","170","885","20","0"
"740","2228.5","8755.0","128.3","166","870","20","0"
"741","2231.5","8766.7","128.4","165","869","20","0"
"742","2234.5","8778.5","128.5","165","867","20","0"
"743","2237.5","8790.1","129.8","160","850","20","0"
"744","2240.5","8801.6","130.3","158","844","20","0"
"745","2243.5","8813.2","130.3","158","844","20","0"
"746","2246.5","8824.8","129.8","160","850","20","0"
"747","2249.5","8836.5","129.4","162","855","20","0"
"748","2252.5","8848.3","128.3","166","870","20","0"
"749","2255.5","8860.0","128.3","166","870","20","0"
"750","2258.5","8871.8","127.9","167","875","20","0"
"751","2261.5","8883.5","128.0","167","874","20","0"
"752","2264.5","8895.3","127.9","167","875","20","0"
"753","2267.5","8907.0","127.9","167","875","20","0"
"754","2270.5","8918.9","128.4","165","869","21","0"
"755","2273.5","8930.7","127.7","168","878","20","0"
"756","2276.5","8942.4","127.1","170","886","20","0"
"757","2279.5","8954.3","127.9","167","875","20","0"
"758","2282.5","8965.9","127.6","168","879","20","0"
"759","2285.5","8977.8","128.9","163","862","20","0"
"760","2288.5","8989.6","127.2","170","885","20","0"
"761","2291.5","9001.3","127.1","170","886","20","0"
"762","2294.5","9013.0","128.1","167","873","20","0"
"763","2297.5","9024.7","129.0","163","861","20","0"
"764","2300.5","9036.2","129.1","163","859","20","0"
"765","2303.5","9047.7","129.9","160","849","20","0"
"766","2306.5","9059.1","130.6","157","840","19","0"
"767","2309.5","9070.5","131.7","153","827","20","0"
"768","2313.0","9084.3","129.9","160","849","20","0"
"769","2316.0","9095.8","131.5","154","829","20","0"
"770","2318.5","9104.9","131.5","154","829","20","0"
"771","2321.5","9116.3","132.7","150","815","20","0"
"772","2324.5","9127.8","132.1","152","822","20","0"
"773","2327.5","9139.3","131.7","153","827","21","0"
"774","2330.5","9150.8","131.4","154","830","20","0"
"775","2333.5","9162.4","131.1","155","834","20","0"
"776","2336.5","9173.7","130.9","156","837","20","0"
"777","2339.5","9185.1","133.9","146","801","21","0"
"778","2342.0","9194.2","133.9","146","801","21","0"
"779","2345.0","9205.3","136.3","138","775","21","0"
"780","2347.5","9214.3","136.3","138","775","21","0"
"781","2350.5","9225.1","137.4","135","764","22","0"
"782","2353.0","9234.1","140.3","127","736","21","0"
"783","2356.5","9247.7","131.4","154","830","20","0"
"784","2359.5","9259.0","132.6","150","816","20","0"
"785","2362.0","9268.3","132.6","150","816","20","0"
"786","2365.5","9281.8","132.4","151","818","20","0"
"787","2368.5","9293.2","131.6","154","828","20","0"
"788","2371.5","9304.8","130.3","158","844","20","0"
"789","2374.5","9316.3","130.0","159","848","20","0"
"790","2377.0","9325.7","130.0","159","848","20","0"
"791","2380.0","9337.3","129.9","160","849","20","0"
"792","2383.0","9348.9","130.3","158","844","20","0"
"793","2386.0","9360.6","129.4","162","855","20","0"
"794","2389.0","9372.3","129.2","162","858","20","0"
"795","2392.0","9384.0","129.1","163","859","20","0"
"796","2395.0","9395.6","128.9","163","862","20","0"
"797","2398.0","9407.2","128.9","163","862","20","0"
"798","2401.0","9418.7","130.1","159","847","20","0"
"799","2404.0","9430.2","130.5","157","841","20","0"
"800","2407.5","9443.9","130.8","156","838","19","0"
"801","2410.5","9455.3","130.7","157","839","20","0"
"802","2413.5","9467.0","129.5","161","854","20","0"
"803","2416.5","9478.5","129.5","161","854","20","0"
"804","2419.5","9490.0","131.1","155","834","20","0"
"805","2422.5","9501.6","129.4","162","855","20","0"
"806","2425.5","9513.3","129.4","162","855","20","0"
"807","2428.5","9525.0","128.5","165","867","20","0"
"808","2431.5","9536.7","128.2","166","871","20","0"
"809","2434.5","9548.2","129.3","162","857","20","0"
"810","2437.5","9559.8","130.3","158","844","21","0"
"811","2440.5","9571.4","129.7","160","852","20","0"
"812","2443.5","9583.0","129.6","161","853","20","0"
"813","2446.5","9594.6","130.6","157","840","20","0"
"814","2449.0","9603.9","130.6","157","840","20","0"
"815","2452.0","9615.6","130.6","157","840","21","0"
"816","2455.0","9627.1","130.1","159","847","21","0"
"817","2458.0","9638.5","131.2","155","833","20","0"
"818","2461.0","9650.0","131.5","154","829","20","0"
"819","2464.0","9661.6","130.9","156","837","21","0"
"820","2467.0","9673.1","130.2","159","845","20","0"
"821","2470.0","9684.5","131.1","155","834","20","0"
"822","2472.9","9695.9","131.5","154","829","20","0"
"823","2475.9","9707.4","131.5","154","829","20","0"
"824","2479.0","9718.9","131.3","155","832","20","0"
"825","2481.9","9730.4","131.3","155","832","20","0"
"826","2485.0","9742.0","130.3","158","844","20","0"
"827","2488.0","9753.6","130.8","156","838","20","0"
"828","2491.0","9765.3","129.6","161","853","21","0"
"829","2494.0","9776.9","129.5","161","854","20","0"
"830","2497.0","9788.6","128.9","163","862","21","0"
"831","2500.0","9800.1","128.9","163","862","21","0"
"832","2503.0","9811.7","130.4","158","843","20","0"
"833","2505.9","9823.1","130.4","158","843","20","0"
"834","2509.0","9834.7","130.4","158","843","19","0"
"835","2512.0","9846.2","130.3","158","844","19","0"
"836","2515.0","9857.9","130.0","159","848","19","0"
"837","2518.0","9869.7","128.6","165","866","21","0"
"838","2521.0","9881.5","128.2","166","871","20","0"
"839","2523.9","9893.3","128.0","167","874","21","0"
"840","2526.4","9902.9","128.0","167","874","21","0"
"841","2529.4","9914.6","128.5","165","867","21","0"
"842","2532.4","9926.3","128.7","164","865","21","0"
"843","2535.5","9937.8","129.6","161","853","21","0"
"844","2538.4","9949.3","130.5","157","841","20","0"
"845","2541.4","9960.8","130.3","158","844","19","0"
"846","2544.5","9972.1","131.6","154","828","20","0"
"847","2547.4","9983.5","132.2","151","821","19","0"
"848","2550.4","9995.0","132.0","152","823","20","0"
