"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"130","401.1","1568.5","117.8","214","1036","26","0"
"131","403.7","1579.5","112.5","246","1146","25","0"
"132","406.1","1590.2","114.7","232","1098","24","0"
"133","408.6","1600.9","116.6","221","1059","24","0"
"134","411.1","1611.8","115.9","225","1073","24","0"
"135","413.6","1622.6","115.9","225","1073","24","0"
"136","416.1","1633.4","115.7","226","1077","23","0"
"137","418.6","1644.3","115.3","228","1085","23","0"
"138","421.6","1656.9","115.1","230","1089","23","0"
"139","424.6","1668.6","129.8","160","850","21","0"
"140","427.6","1680.0","131.4","154","830","20","0"
"141","430.1","1689.4","131.4","154","830","20","0"
"142","433.1","1700.9","131.7","153","827","21","0"
"143","436.1","1712.5","130.6","157","840","21","0"
"144","439.1","1724.0","131.1","155","834","21","0"
"145","441.6","1733.3","131.1","155","834","21","0"
"146","444.6","1744.9","131.4","154","830","21","0"
"147","447.6","1756.7","130.6","157","840","21","0"
"148","450.6","1768.4","128.4","165","869","21","0"
"149","453.6","1780.1","129.3","162","857","20","0"
"150","456.6","1791.7","129.1","163","859","20","0"
"151","459.6","1803.4","129.1","163","859","20","0"
"152","462.6","1815.1","129.1","163","859","20","0"
"153","465.6","1827.0","128.0","167","874","20","0"
"154","468.6","1838.7","126.9","171","889","20","0"
"155","471.6","1850.7","127.1","170","886","20","0"
"156","474.6","1862.5","126.0","175","902","20","0"
"157","477.6","1874.4","127.7","168","878","20","0"
"158","480.6","1886.3","125.9","175","903","20","0"
"159","483.6","1898.1","126.5","173","895","20","0"
"160","486.6","1909.9","127.3","170","883","20","0"
"161","490.1","1923.7","128.4","165","869","19","0"
"162","493.1","1935.3","128.4","165","869","19","0"
"163","496.1","1946.9","129.5","161","854","19","0"
"164","499.1","1958.7","129.4","162","855","20","0"
"165","502.1","1970.4","128.3","166","870","20","0"
"166","505.1","1982.1","127.4","169","882","20","0"
"167","508.1","1993.7","129.1","163","859","20","0"
"168","511.1","2005.4","129.3","162","857","19","0"
"169","514.1","2017.0","129.8","160","850","21","0"
"170","517.1","2028.8","128.6","165","866","20","0"
"171","520.1","2040.4","127.7","168","878","20","0"
"172","523.1","2052.0","129.1","163","859","20","0"
"173","526.1","2063.7","128.9","163","862","20","0"
"174","529.1","2075.4","128.8","164","863","20","0"
"175","532.6","2089.3","128.2","166","871","19","0"
"176","535.6","2100.9","128.2","166","871","19","0"
"177","538.6","2112.6","129.4","162","855","19","0"
"178","541.6","2124.4","128.4","165","869","20","0"
"179","544.6","2136.3","126.8","172","890","19","0"
"180","547.6","2148.0","127.2","170","885","20","0"
"181","550.6","2159.9","127.2","170","885","20","0"
